t0,m0,mw,x,y,z,area,dt
642142514895.2395,5.311957017790057e+19,7.083503,123915.108899,4915946.388981,-16415.851158,994016040.77192,31.6998291015625
642748193056.915,7.571756115809183e+19,7.186131,786533.911802,5378963.370471,-4000.0,841423073.689807,26.4107666015625
643212671302.1387,7.372863007950883e+19,7.178424,712551.345551,5317175.336053,-6000.0,771564465.588456,17.5040283203125
643218210830.7787,5.4969995294755004e+19,7.093417,1007903.819547,5661588.120755,-12000.0,582547026.947108,17.1650390625
643488860542.1292,4.557895126659026e+19,7.039176,1130106.786671,5703945.681915,-5785.714286,569766280.631247,27.091796875
643719972483.6499,9.216076946078225e+19,7.243031,144894.073749,4959221.289588,-11142.857143,1070970589.304825,28.647216796875
643897437158.345,2.2349487071920852e+20,7.499512,605066.856587,5314458.907439,-13000.0,1872038452.357898,50.6922607421875
644265082169.9215,5.400938519073248e+19,7.088313,216055.807047,5037392.429297,-8000.0,678204871.152256,16.4434814453125
644307285238.8274,7.648716969249859e+20,7.855726,320297.980839,5118228.355052,-3000.0,5545677339.209194,121.2596435546875
644384670991.496,9.2851417075107e+19,7.245192,536693.886572,5260720.724187,-9900.0,1085362336.278187,20.5792236328125
644529962399.6434,4.9648368149465176e+20,7.730603,616826.857048,5519455.938591,-12750.0,2375947439.648918,41.573974609375
644870645659.647,8.730192132268512e+19,7.227349,122644.576828,4935938.46431,-8526.315789,878587344.443572,25.3336181640625
644893987661.3417,6.5331729366708445e+19,7.143416,1061396.986197,5863839.465568,-3000.0,689599166.40266,13.3408203125
644960178785.9547,5.991039620481677e+22,9.118335,1903130.847421,7240905.751529,-19621.621622,186684935194.5866,918.5155029296875
645369885662.1802,8.932716394563938e+19,7.233989,831932.083334,5481205.737889,-11700.0,967684345.369358,37.7886962890625
645398661514.8129,2.489068728668303e+20,7.530691,314588.585564,5116355.981864,-4000.0,2170580251.324801,56.5169677734375
645499135562.4098,4.025696273742225e+19,7.003227,1063379.823723,5920407.352102,-6000.0,508130927.695529,20.6572265625
645780198965.134,8.611287289943834e+20,7.890045,46119.192785,4747813.325441,-17398.253538,6476414128.827791,73.4058837890625
645808082593.2839,5.8037330175694425e+20,7.775805,157260.449299,4976917.175162,-10285.714286,5602488855.865182,50.9952392578125
645833602788.8674,4.966307788932582e+19,7.064022,738206.24142,5359914.806864,-4500.0,596596110.149143,23.5736083984375
645833665720.2975,5.3887273283009995e+19,7.087657,748228.794595,5354589.791275,-9900.0,547152200.273397,18.3304443359375
645906202692.2612,5.864024973068028e+19,7.112131,897047.947239,5646862.53099,-5400.0,509240299.133287,13.0821533203125
646330885399.0103,5.649470975164019e+19,7.101339,404680.459479,4948579.831747,-11076.923077,523269948.309583,21.3853759765625
646612865081.9618,2.71081070732555e+20,7.555399,439426.848604,4991530.280473,-2769.230769,1712223028.408087,48.9127197265625
647229684889.2511,6.043784845353868e+19,7.120873,1145923.21892,5710071.655129,-3214.285714,643404340.957141,22.1044921875
647294780218.3721,8.676163240012428e+19,7.225552,815717.085051,5378701.92454,-5797.297297,875409692.64157,18.52294921875
647547987111.7509,4.50367847218056e+19,7.035712,955828.227211,5414147.524846,-8075.675676,476509438.182263,19.7230224609375
647823255091.3812,1.0160276348122178e+20,7.27127,606413.334962,5166326.472302,-12600.0,591530183.017827,14.502197265625
647877968226.8011,1.2507015225279224e+20,7.331436,1906360.66273,7236809.768257,-18648.648649,1962818782.951756,39.907958984375
648122534503.606,4.5327368254150754e+19,7.037574,357471.02778,5037527.813455,-11700.0,382083883.909339,16.38818359375
648654027405.8455,3.283818160202317e+20,7.610919,587367.877174,5292789.898939,-10800.0,2359049551.096608,44.76123046875
648959599828.9158,1.0011032175367512e+20,7.266986,1132141.07656,5691919.98582,-8357.142857,1229161634.255843,42.0517578125
648982101897.5721,4.27231921061498e+19,7.020442,960794.347638,5752389.928432,-3600.0,405910884.188601,13.2259521484375
649086940265.0189,2.250066175162483e+20,7.501464,1088203.348441,5635583.35778,-12857.142857,1814859025.2511,36.3382568359375
649106420407.0713,1.111763610773017e+20,7.297342,922371.933334,5422807.889091,-10033.783784,1081151401.794281,44.4844970703125
649148462787.4924,2.2022510849815432e+20,7.495245,1037687.523112,5726665.806437,-4000.0,1459623264.377034,29.25146484375
649189335413.2534,6.7241267527760134e+19,7.151757,867239.455885,5396958.196842,-9434.889435,721266560.869538,19.967529296875
649594404865.9166,7.454137481707296e+19,7.181598,666135.472602,5215616.285802,-12272.727273,768570310.128071,26.209716796875
649658852911.1395,2.5589030935151057e+20,7.538703,966174.314774,5505969.491784,-10285.714286,2336619590.344775,76.598876953125
649854609572.111,1.3339647047706373e+20,7.350096,621077.165913,5285134.707127,-6300.0,1298880338.267871,33.781982421875
